gene,classification
AC020915.2,novel
AC020915.3,antisense
AC020915.4,pseudogene
AC020915.5,novel
AC020916.1,novel
AC020916.2,antisense
AC020917.1,pseudogene
AC020917.2,antisense
AC020917.3,novel
AC020917.4,other
AC020922.1,novel
AC020922.2,antisense
AC020922.3,antisense
AC020922.4,novel
AC020923.1,novel
AC020928.1,other
AC020928.2,novel
AC020930.1,novel
AC020931.1,antisense
AC020934.1,antisense
AC020934.2,antisense
AC020937.1,pseudogene
AC020951.1,other
AC020978.1,novel
AC020978.2,antisense
AC020978.3,novel
AC020978.4,novel
AC020978.5,antisense
AC020978.6,novel
AC020978.7,novel
AC020978.8,novel
AC020978.9,novel
AC020980.1,novel
AC020983.1,pseudogene
AC020987.1,other
AC021006.1,pseudogene
AC021006.2,novel
AC021016.1,pseudogene
AC021016.2,novel
AC021028.1,novel
AC021035.1,novel
AC021037.1,antisense
AC021055.1,novel
AC021059.1,other
AC021066.1,antisense
AC021066.2,pseudogene
AC021066.3,pseudogene
AC021072.1,novel
AC021074.1,pseudogene
AC021074.2,pseudogene
AC021074.3,novel
AC021078.1,novel
AC021086.1,novel
AC021087.1,novel
AC021087.2,pseudogene
AC021087.3,novel
AC021087.4,novel
AC021087.5,novel
AC021088.1,novel
AC021092.1,antisense
AC021097.1,antisense
AC021105.1,other
AC021106.1,pseudogene
AC021106.2,pseudogene
AC021106.3,other
AC021127.1,novel
AC021134.1,novel
AC021134.2,novel
AC021146.1,pseudogene
AC021146.10,pseudogene
AC021146.11,pseudogene
AC021146.12,novel
AC021146.2,pseudogene
AC021146.3,pseudogene
AC021146.4,pseudogene
AC021146.5,pseudogene
AC021146.6,pseudogene
AC021146.7,pseudogene
AC021146.8,pseudogene
AC021146.9,pseudogene
AC021148.1,pseudogene
AC021148.2,novel
AC021148.3,other
AC021151.1,novel
AC021171.1,pseudogene
AC021171.2,pseudogene
AC021180.1,novel
AC021188.1,novel
AC021192.1,novel
AC021192.2,other
AC021193.1,pseudogene
AC021205.1,pseudogene
AC021205.2,pseudogene
AC021205.3,antisense
AC021218.1,other
AC021220.1,pseudogene
AC021220.2,novel
AC021231.1,novel
AC021231.2,pseudogene
AC021231.3,pseudogene
AC021236.1,antisense
AC021237.1,novel
AC021242.1,pseudogene
AC021242.2,novel
AC021242.3,antisense
AC021269.1,pseudogene
AC021269.2,pseudogene
AC021269.3,novel
AC021305.1,other
AC021321.1,novel
AC021321.2,novel
AC021351.1,novel
AC021355.1,novel
AC021382.1,novel
AC021393.1,novel
AC021422.2,other
AC021424.1,other
AC021424.2,other
AC021424.3,other
AC021424.4,other
AC021443.1,pseudogene
AC021443.2,other
AC021443.3,other
AC021451.1,other
AC021451.2,novel
AC021451.3,novel
AC021483.1,novel
AC021483.2,novel
AC021491.1,novel
AC021491.2,antisense
AC021491.3,novel
AC021491.4,novel
AC021504.1,other
AC021506.1,novel
AC021506.2,pseudogene
AC021517.1,other
AC021517.2,novel
AC021534.1,antisense
AC021546.1,novel
AC021549.1,novel
AC021549.2,other
AC021573.1,novel
AC021590.1,other
AC021594.1,novel
AC021594.2,novel
AC021613.1,novel
AC021613.2,other
AC021613.3,novel
AC021646.1,pseudogene
AC021646.2,other
AC021660.1,pseudogene
AC021660.2,novel
AC021660.3,novel
AC021660.4,novel
AC021678.1,pseudogene
AC021678.2,novel
AC021678.3,pseudogene
AC021683.1,novel
AC021683.2,novel
AC021683.3,novel
AC021683.4,other
AC021683.5,novel
AC021683.6,novel
AC021698.1,novel
AC021701.1,antisense
AC021713.1,novel
AC021723.1,pseudogene
AC021723.2,novel
AC021733.1,novel
AC021733.2,pseudogene
AC021733.3,antisense
AC021733.4,other
AC021736.1,novel
AC021739.1,pseudogene
AC021739.2,antisense
AC021739.3,antisense
AC021739.4,antisense
AC021739.5,antisense
AC021744.1,novel
AC021749.1,pseudogene
AC021752.1,novel
AC021753.1,pseudogene
AC021755.1,pseudogene
AC021755.2,novel
AC021755.3,novel
AC021766.1,other
AC021785.1,novel
AC021818.1,novel
AC021818.2,pseudogene
AC021820.1,pseudogene
AC021822.1,other
AC021851.1,novel
AC021851.2,novel
AC021860.1,novel
AC021863.1,other
AC021876.1,pseudogene
AC021915.1,novel
AC021915.2,novel
AC021945.1,other
AC021979.1,novel
AC021979.2,novel
AC021979.3,novel
AC021989.1,other
AC022001.1,pseudogene
AC022001.2,antisense
AC022001.3,antisense
AC022007.1,novel
AC022017.1,antisense
AC022018.1,pseudogene
AC022021.1,other
AC022022.1,pseudogene
AC022022.2,pseudogene
AC022023.1,novel
AC022023.2,other
AC022028.1,pseudogene
AC022028.2,antisense
AC022028.3,other
AC022031.1,novel
AC022031.2,novel
AC022034.1,novel
AC022034.2,pseudogene
AC022034.3,novel
AC022034.4,novel
AC022035.1,antisense
AC022039.1,novel
AC022068.1,antisense
AC022069.1,pseudogene
AC022075.1,antisense
AC022079.1,novel
AC022079.2,antisense
AC022080.1,pseudogene
AC022080.2,pseudogene
AC022080.3,pseudogene
AC022081.1,novel
AC022087.1,novel
AC022092.1,antisense
AC022098.1,antisense
AC022098.2,antisense
AC022098.3,antisense
AC022098.4,antisense
AC022100.1,novel
AC022100.2,other
AC022101.1,novel
AC022106.1,pseudogene
AC022106.2,pseudogene
AC022107.1,other
AC022113.1,novel
AC022113.2,other
AC022118.1,novel
AC022121.1,pseudogene
AC022121.2,other
AC022126.1,novel
AC022133.1,pseudogene
AC022133.2,other
AC022137.1,pseudogene
AC022137.2,pseudogene
AC022137.3,novel
AC022137.4,antisense
AC022140.1,novel
AC022140.2,other
AC022144.1,antisense
AC022145.1,novel
AC022145.2,pseudogene
AC022146.1,pseudogene
AC022146.2,antisense
AC022148.1,antisense
AC022148.2,novel
AC022149.1,pseudogene
AC022149.2,pseudogene
AC022150.1,antisense
AC022150.2,novel
AC022150.3,antisense
AC022150.4,novel
AC022154.1,antisense
AC022164.1,novel
AC022165.1,antisense
AC022166.1,novel
AC022166.2,novel
AC022167.1,antisense
AC022167.2,antisense
AC022167.3,novel
AC022167.4,antisense
AC022168.1,novel
AC022182.1,novel
AC022182.2,novel
AC022182.3,pseudogene
AC022188.1,novel
AC022196.1,novel
AC022201.1,novel
AC022201.2,novel
AC022202.1,pseudogene
AC022206.1,pseudogene
AC022210.1,pseudogene
AC022210.2,novel
AC022211.1,novel
AC022211.2,antisense
AC022211.3,novel
AC022211.4,other
AC022211.5,other
AC022215.1,pseudogene
AC022215.2,antisense
AC022217.1,pseudogene
AC022217.2,other
AC022217.3,antisense
AC022217.4,pseudogene
AC022217.5,other
AC022239.1,antisense
AC022239.2,novel
AC022254.1,pseudogene
AC022267.1,novel
AC022272.1,novel
AC022274.1,novel
AC022276.1,novel
AC022296.1,pseudogene
AC022296.2,pseudogene
AC022296.3,novel
AC022296.4,other
AC022306.1,pseudogene
AC022306.2,novel
AC022306.3,novel
AC022308.1,novel
AC022325.1,pseudogene
AC022325.2,novel
AC022335.1,novel
AC022336.1,pseudogene
AC022336.2,novel
AC022336.3,other
AC022336.4,other
AC022360.1,pseudogene
AC022364.1,antisense
AC022364.2,pseudogene
AC022367.1,novel
AC022382.1,antisense
AC022382.2,antisense
AC022384.1,novel
AC022387.1,pseudogene
AC022387.2,novel
AC022392.1,novel
AC022395.1,antisense
AC022400.1,novel
AC022400.10,other
AC022400.2,antisense
AC022400.3,novel
AC022400.4,pseudogene
AC022400.5,novel
AC022400.6,novel
AC022400.7,novel
AC022400.8,other
AC022400.9,other
AC022404.1,pseudogene
AC022405.1,novel
AC022413.1,other
AC022413.2,novel
AC022413.3,other
AC022414.1,other
AC022415.1,pseudogene
AC022415.2,novel
AC022415.3,other
AC022417.1,other
AC022418.1,other
AC022424.1,novel
AC022424.2,novel
AC022431.1,novel
AC022432.1,pseudogene
AC022433.1,novel
AC022440.1,other
AC022441.1,novel
AC022441.2,novel
AC022441.3,pseudogene
AC022447.1,novel
AC022447.2,novel
AC022447.3,novel
AC022447.4,pseudogene
AC022447.5,novel
AC022447.6,novel
AC022447.7,novel
AC022463.1,antisense
AC022467.1,novel
AC022467.2,antisense
AC022469.1,novel
AC022469.2,antisense
AC022483.1,pseudogene
AC022483.2,other
AC022483.3,other
AC022486.1,novel
AC022493.1,pseudogene
AC022493.2,pseudogene
AC022494.1,pseudogene
AC022497.1,other
AC022498.1,novel
AC022498.2,novel
AC022506.1,other
AC022506.2,antisense
AC022507.1,pseudogene
AC022509.1,antisense
AC022509.2,antisense
AC022509.3,antisense
AC022509.4,antisense
AC022509.5,antisense
AC022511.1,novel
AC022513.1,other
AC022517.1,antisense
AC022523.1,novel
AC022523.2,pseudogene
AC022523.3,novel
AC022532.1,other
AC022535.1,novel
AC022535.2,novel
AC022535.3,novel
AC022537.1,novel
AC022540.1,novel
AC022558.1,novel
AC022558.2,antisense
AC022558.3,antisense
AC022559.1,pseudogene
AC022596.1,novel
AC022596.2,novel
AC022601.1,antisense
AC022613.1,antisense
AC022613.2,antisense
AC022613.3,novel
AC022616.1,pseudogene
AC022616.2,pseudogene
AC022616.3,pseudogene
AC022616.4,pseudogene
AC022616.5,pseudogene
AC022616.6,pseudogene
AC022616.7,pseudogene
AC022616.8,pseudogene
AC022616.9,other
AC022634.1,pseudogene
AC022634.2,novel
AC022655.1,novel
AC022655.2,pseudogene
AC022662.1,pseudogene
AC022679.1,novel
AC022679.2,novel
AC022690.1,pseudogene
AC022690.2,novel
AC022692.1,other
AC022695.1,pseudogene
AC022695.2,novel
AC022695.3,novel
AC022706.1,novel
AC022709.1,pseudogene
AC022710.1,antisense
AC022726.1,novel
AC022726.2,antisense
AC022730.1,pseudogene
AC022730.2,pseudogene
AC022730.3,novel
AC022730.4,novel
AC022733.1,novel
AC022743.1,other
AC022748.1,pseudogene
AC022748.2,pseudogene
AC022748.3,pseudogene
AC022762.1,novel
AC022762.2,novel
AC022778.1,novel
AC022784.1,novel
AC022784.2,novel
AC022784.3,novel
AC022784.4,pseudogene
AC022784.5,novel
AC022784.6,novel
AC022790.1,pseudogene
AC022795.1,pseudogene
AC022809.1,novel
AC022816.1,novel
AC022819.1,novel
AC022826.1,pseudogene
AC022826.2,novel
AC022832.1,transcriptionFactor
AC022832.2,novel
AC022858.1,novel
AC022868.1,pseudogene
AC022868.2,other
AC022872.1,antisense
AC022874.1,novel
AC022878.1,pseudogene
AC022880.1,pseudogene
AC022880.2,pseudogene
AC022882.1,pseudogene
AC022893.1,novel
AC022893.2,novel
AC022893.3,antisense
AC022898.1,antisense
AC022898.2,novel
AC022903.1,novel
AC022903.2,antisense
AC022905.1,pseudogene
AC022915.1,novel
AC022915.2,novel
AC022915.3,novel
AC022916.1,antisense
AC022916.2,novel
AC022916.3,transcriptionFactor
AC022916.4,antisense
AC022916.5,other
AC022919.1,other
AC022929.1,novel
AC022929.2,novel
AC022960.1,antisense
AC022960.2,novel
AC022960.3,pseudogene
AC022966.1,other
AC022966.2,antisense
AC022968.1,pseudogene
AC022973.1,pseudogene
AC022973.2,novel
AC022973.3,novel
AC022973.4,novel
AC022973.5,other
AC023024.1,antisense
AC023024.2,other
AC023034.1,novel
AC023043.1,antisense
AC023043.2,pseudogene
AC023043.3,pseudogene
AC023043.4,novel
AC023049.1,pseudogene
AC023050.1,pseudogene
AC023050.2,transcriptionFactor
AC023050.3,pseudogene
AC023050.4,pseudogene
AC023050.5,other
AC023051.1,antisense
AC023051.2,pseudogene
AC023055.1,novel
AC023078.1,pseudogene
AC023078.2,pseudogene
AC023090.1,antisense
AC023090.2,other
AC023095.1,novel
AC023105.1,other
AC023115.1,novel
AC023128.1,novel
AC023128.2,pseudogene
AC023136.1,novel
AC023137.1,novel
AC023137.2,other
AC023141.1,pseudogene
AC023141.10,pseudogene
AC023141.11,pseudogene
AC023141.12,pseudogene
AC023141.13,pseudogene
AC023141.2,pseudogene
AC023141.3,pseudogene
AC023141.4,pseudogene
AC023141.5,pseudogene
AC023141.6,pseudogene
AC023141.7,pseudogene
AC023141.8,pseudogene
AC023141.9,pseudogene
AC023154.1,novel
AC023157.1,pseudogene
AC023157.2,pseudogene
AC023158.1,novel
AC023158.2,novel
AC023161.1,novel
AC023162.1,pseudogene
AC023194.1,pseudogene
AC023194.2,pseudogene
AC023194.3,novel
AC023200.1,novel
AC023202.1,novel
AC023206.1,pseudogene
AC023232.1,pseudogene
AC023245.1,pseudogene
AC023245.2,pseudogene
AC023245.3,other
AC023271.1,pseudogene
AC023271.2,other
AC023274.1,pseudogene
AC023274.2,pseudogene
AC023282.1,novel
AC023283.1,antisense
AC023296.1,other
AC023300.1,novel
AC023300.2,antisense
AC023300.3,other
AC023301.1,novel
AC023302.1,novel
AC023302.2,novel
AC023310.1,pseudogene
AC023310.2,pseudogene
AC023310.3,pseudogene
AC023310.4,novel
AC023347.1,novel
AC023355.1,antisense
AC023355.2,other
AC023356.1,other
AC023385.1,novel
AC023389.1,antisense
AC023389.2,pseudogene
AC023389.3,other
AC023394.1,novel
AC023394.2,novel
AC023403.1,novel
AC023421.1,novel
AC023421.2,antisense
AC023424.1,pseudogene
AC023424.2,pseudogene
AC023442.1,pseudogene
AC023442.2,novel
AC023442.3,novel
AC023449.1,pseudogene
AC023468.1,novel
AC023469.1,novel
AC023469.2,novel
AC023480.1,antisense
AC023481.1,novel
AC023483.1,antisense
AC023490.1,novel
AC023490.2,pseudogene
AC023490.3,novel
AC023490.4,novel
AC023490.5,other
AC023490.6,other
AC023490.7,other
AC023494.1,antisense
AC023503.1,novel
AC023509.1,novel
AC023509.2,antisense
AC023509.3,antisense
AC023509.4,pseudogene
AC023509.5,antisense
AC023509.6,other
AC023510.1,antisense
AC023510.2,antisense
AC023511.1,novel
AC023511.2,pseudogene
AC023511.3,novel
AC023512.1,pseudogene
AC023513.1,pseudogene
AC023538.1,pseudogene
AC023575.1,pseudogene
AC023590.1,antisense
AC023593.1,antisense
AC023595.1,novel
AC023632.1,pseudogene
AC023632.2,novel
AC023632.3,pseudogene
AC023632.4,pseudogene
AC023632.5,novel
AC023644.1,novel
AC023669.1,novel
AC023669.2,novel
AC023762.1,novel
AC023781.1,other
AC023787.1,novel
AC023787.2,novel
AC023787.3,novel
AC023790.1,pseudogene
AC023790.2,novel
AC023794.1,novel
AC023794.2,antisense
AC023794.3,novel
AC023794.4,pseudogene
AC023794.5,novel
AC023794.6,novel
AC023794.7,other
AC023796.1,novel
AC023796.2,antisense
AC023813.1,novel
AC023813.2,pseudogene
AC023813.3,novel
AC023813.4,novel
AC023818.1,novel
AC023824.1,novel
AC023824.2,pseudogene
AC023824.3,novel
AC023824.4,novel
AC023824.5,novel
AC023824.6,novel
AC023825.1,pseudogene
AC023825.2,antisense
AC023827.1,transcriptionFactor
AC023830.1,antisense
AC023830.2,antisense
AC023830.3,novel
AC023830.4,other
AC023855.1,antisense
AC023855.2,other
AC023866.1,novel
AC023866.2,novel
AC023891.1,other
AC023905.1,antisense
AC023906.1,pseudogene
AC023906.2,novel
AC023906.3,novel
AC023906.4,antisense
AC023906.5,antisense
AC023908.1,novel
AC023908.2,novel
AC023908.3,antisense
AC023932.1,pseudogene
AC023934.1,pseudogene
AC023946.1,novel
AC023950.1,other
AC023968.1,pseudogene
AC023968.2,transcriptionFactor
AC023983.1,antisense
AC023983.2,novel
AC024022.1,novel
AC024023.1,other
AC024028.1,novel
AC024032.1,other
AC024032.2,other
AC024051.1,other
AC024051.10,other
AC024051.11,other
AC024051.12,other
AC024051.2,other
AC024051.3,other
AC024051.4,other
AC024051.5,other
AC024051.6,other
AC024051.7,other
AC024051.8,other
AC024051.9,other
AC024060.1,antisense
AC024060.2,other
AC024067.1,pseudogene
AC024067.2,other
AC024075.1,novel
AC024075.2,novel
AC024075.3,antisense
AC024082.1,pseudogene
AC024082.2,pseudogene
AC024084.1,novel
AC024084.2,other
AC024085.1,pseudogene
AC024132.1,novel
AC024132.2,novel
AC024132.3,novel
AC024132.4,other
AC024145.1,novel
AC024153.1,pseudogene
AC024224.1,pseudogene
AC024224.2,novel
AC024230.1,novel
AC024236.1,novel
AC024243.1,antisense
AC024255.1,pseudogene
AC024257.1,novel
AC024257.2,pseudogene
AC024257.3,antisense
AC024257.4,novel
AC024257.5,novel
AC024267.1,novel
AC024267.2,pseudogene
AC024267.3,antisense
AC024267.4,antisense
AC024267.5,antisense
AC024267.6,antisense
AC024267.7,other
AC024270.1,pseudogene
AC024270.2,antisense
AC024270.3,antisense
AC024270.4,antisense
AC024270.5,antisense
AC024288.1,pseudogene
AC024293.1,pseudogene
AC024337.1,novel
AC024337.2,novel
AC024341.1,pseudogene
AC024361.1,novel
AC024361.2,novel
AC024361.3,novel
AC024382.1,novel
AC024405.1,pseudogene
AC024405.2,transcriptionFactor
AC024451.1,pseudogene
AC024451.2,pseudogene
AC024451.3,pseudogene
AC024451.4,novel
AC024475.1,novel
AC024475.2,pseudogene
AC024475.3,novel
AC024558.1,pseudogene
AC024558.2,other
AC024559.1,novel
AC024559.2,novel
AC024560.1,novel
AC024560.2,pseudogene
AC024560.3,novel
AC024560.4,novel
AC024560.5,antisense
AC024561.1,other
AC024563.1,antisense
AC024563.2,pseudogene
AC024568.1,pseudogene
AC024575.1,antisense
AC024575.2,other
AC024579.1,novel
AC024580.1,other
AC024580.2,other
AC024580.3,other
AC024581.1,novel
AC024581.2,pseudogene
AC024587.1,pseudogene
AC024587.2,novel
AC024588.1,antisense
AC024589.1,pseudogene
AC024589.2,pseudogene
AC024589.3,other
AC024592.1,antisense
AC024592.2,antisense
AC024592.3,novel
AC024595.1,other
AC024597.1,antisense
AC024598.1,novel
AC024603.1,antisense
AC024610.1,antisense
AC024610.2,novel
AC024614.1,novel
AC024614.2,novel
AC024614.3,pseudogene
AC024614.4,novel
AC024619.1,novel
AC024619.2,antisense
AC024619.3,antisense
AC024619.4,pseudogene
AC024651.1,novel
AC024651.2,novel
AC024651.3,novel
AC024681.1,pseudogene
AC024681.2,novel
AC024730.1,antisense
AC024884.1,pseudogene
AC024884.2,novel
AC024896.1,antisense
AC024901.1,novel
AC024909.1,antisense
AC024933.1,antisense
AC024933.2,antisense
AC024933.3,other
AC024937.1,pseudogene
AC024937.2,pseudogene
AC024937.3,antisense
AC024940.1,antisense
AC024940.2,other
AC024940.3,pseudogene
AC024940.4,pseudogene
AC024940.5,pseudogene
AC024940.6,novel
AC024941.1,novel
AC024941.2,antisense
AC024958.1,novel
AC024995.1,pseudogene
AC024996.1,antisense
AC025030.1,pseudogene
AC025030.2,antisense
AC025031.1,novel
AC025031.2,antisense
AC025031.3,novel
AC025031.4,novel
AC025031.5,other
AC025033.1,pseudogene
AC025034.1,antisense
AC025034.2,other
AC025038.1,novel
AC025040.1,antisense
AC025040.2,pseudogene
AC025043.1,antisense
AC025048.1,novel
AC025048.2,novel
AC025048.3,pseudogene
AC025048.4,novel
AC025048.5,pseudogene
AC025048.6,pseudogene
AC025048.7,novel
AC025062.1,pseudogene
AC025062.2,pseudogene
AC025062.3,novel
AC025125.1,other
AC025154.1,antisense
AC025154.2,antisense
AC025160.1,novel
AC025161.1,pseudogene
AC025162.1,antisense
AC025162.2,novel
AC025164.1,antisense
AC025164.2,novel
AC025164.3,other
AC025165.1,antisense
AC025165.2,antisense
AC025165.3,novel
AC025165.4,novel
AC025165.5,novel
AC025165.6,novel
AC025166.1,novel
AC025169.1,other
AC025171.1,novel
AC025171.2,antisense
AC025171.3,novel
AC025171.4,novel
AC025171.5,novel
AC025174.1,novel
AC025175.1,novel
AC025175.2,antisense
AC025176.1,novel
AC025178.1,novel
AC025178.2,other
AC025180.1,novel
AC025181.1,pseudogene
AC025181.2,novel
AC025183.1,antisense
AC025183.2,antisense
AC025183.3,novel
AC025186.1,pseudogene
AC025187.1,novel
AC025188.1,antisense
AC025188.2,other
AC025188.3,other
AC025198.1,pseudogene
AC025211.1,antisense
AC025244.1,novel
AC025244.2,novel
AC025252.1,novel
AC025252.2,pseudogene
AC025252.3,other
AC025253.1,novel
AC025253.2,novel
AC025254.1,novel
AC025257.1,antisense
AC025259.1,antisense
AC025259.2,pseudogene
AC025260.1,pseudogene
AC025260.2,other
AC025262.1,novel
AC025262.2,other
AC025262.3,novel
AC025263.1,antisense
AC025263.2,novel
AC025263.3,other
AC025265.1,antisense
AC025265.2,antisense
AC025265.3,antisense
AC025268.1,other
AC025270.1,other
AC025271.1,pseudogene
AC025271.2,novel
AC025271.3,novel
AC025271.4,novel
AC025272.1,novel
AC025277.1,novel
AC025278.1,antisense
AC025278.2,pseudogene
AC025278.3,pseudogene
AC025278.4,other
AC025279.1,novel
AC025279.2,pseudogene
AC025279.3,pseudogene
AC025280.1,novel
AC025280.2,antisense
AC025280.3,antisense
AC025281.1,pseudogene
AC025283.1,pseudogene
AC025283.2,other
AC025284.1,antisense
AC025287.1,other
AC025287.2,novel
AC025287.3,antisense
AC025287.4,novel
AC025287.5,pseudogene
AC025300.1,novel
AC025362.1,other
AC025366.1,novel
AC025370.1,novel
AC025370.2,antisense
AC025419.1,novel
AC025423.1,novel
AC025423.2,pseudogene
AC025423.3,pseudogene
AC025423.4,novel
AC025423.5,pseudogene
AC025428.1,novel
AC025430.1,antisense
AC025431.1,antisense
AC025434.1,novel
AC025437.1,novel
AC025437.2,novel
AC025437.3,novel
AC025437.4,novel
AC025437.5,novel
AC025437.6,pseudogene
AC025442.1,novel
AC025442.2,novel
AC025445.1,pseudogene
AC025449.1,pseudogene
AC025449.2,antisense
AC025458.1,pseudogene
AC025459.1,pseudogene
AC025465.1,novel
AC025465.2,novel
AC025465.3,novel
AC025465.4,novel
AC025470.1,pseudogene
AC025470.2,antisense
AC025472.1,other
AC025475.1,novel
AC025475.2,novel
AC025508.1,antisense
AC025518.1,pseudogene
AC025521.1,novel
AC025521.2,other
AC025524.1,novel
AC025538.1,pseudogene
AC025539.1,novel
AC025554.1,pseudogene
AC025566.1,novel
AC025569.1,antisense
AC025572.1,novel
AC025574.1,pseudogene
AC025575.1,novel
AC025575.2,novel
AC025576.1,novel
AC025576.2,novel
AC025576.3,antisense
AC025578.1,pseudogene
AC025580.1,antisense
AC025580.2,antisense
AC025580.3,antisense
AC025588.1,pseudogene
AC025588.2,pseudogene
AC025588.3,pseudogene
AC025588.4,pseudogene
AC025594.1,pseudogene
AC025594.2,novel
AC025614.1,novel
AC025614.2,other
AC025614.3,other
AC025627.1,antisense
AC025627.2,pseudogene
AC025627.3,pseudogene
AC025627.4,pseudogene
AC025647.1,pseudogene
AC025647.2,other
AC025647.3,other
AC025674.1,pseudogene
AC025674.2,novel
AC025678.1,pseudogene
AC025678.2,pseudogene
AC025678.3,other
AC025682.1,antisense
AC025682.2,other
AC025741.1,novel
AC025750.1,pseudogene
AC025750.3,other
AC025752.1,novel
AC025754.1,novel
AC025754.2,novel
AC025755.1,pseudogene
AC025756.1,novel
AC025766.1,novel
AC025768.1,pseudogene
AC025773.1,novel
AC025774.1,novel
AC025809.1,antisense
AC025809.2,other
AC025810.1,novel
AC025811.1,novel
AC025822.1,novel
AC025822.2,novel
AC025839.1,novel
AC025857.1,pseudogene
AC025857.2,novel
AC025871.1,novel
AC025871.2,novel
AC025871.3,novel
AC025881.1,pseudogene
AC025884.1,pseudogene
AC025884.2,pseudogene
AC025884.3,pseudogene
AC025887.1,novel
AC025887.2,novel
AC025917.1,antisense
AC025918.1,novel
AC025918.2,pseudogene
AC025946.1,novel
AC025946.2,pseudogene
AC025947.1,novel
AC026100.1,other
AC026108.1,novel
AC026108.2,novel
AC026110.1,other
AC026111.1,pseudogene
AC026116.1,novel
AC026117.1,pseudogene
AC026120.1,pseudogene
AC026120.2,pseudogene
AC026120.3,novel
AC026124.1,novel
AC026124.2,novel
AC026150.1,novel
AC026150.2,pseudogene
AC026150.3,antisense
AC026150.4,other
AC026167.1,novel
AC026185.1,pseudogene
AC026191.1,antisense
AC026202.1,novel
AC026202.2,antisense
AC026202.3,antisense
AC026254.1,pseudogene
AC026254.2,novel
AC026271.1,pseudogene
AC026271.2,pseudogene
AC026271.3,pseudogene
AC026271.4,novel
AC026271.5,other
AC026273.1,pseudogene
AC026304.1,novel
AC026310.1,pseudogene
AC026310.2,antisense
AC026310.3,novel
AC026316.1,pseudogene
AC026316.2,novel
AC026316.3,novel
AC026316.4,novel
AC026316.5,novel
AC026318.1,other
AC026320.1,novel
AC026320.2,pseudogene
AC026320.3,novel
AC026329.1,antisense
AC026333.2,novel
AC026333.3,novel
AC026333.4,novel
AC026336.1,pseudogene
AC026336.2,novel
AC026336.3,novel
AC026336.4,novel
AC026336.5,novel
AC026341.1,novel
AC026341.2,novel
AC026341.3,novel
AC026347.1,novel
AC026347.2,other
AC026348.1,pseudogene
AC026353.1,novel
AC026355.1,novel
AC026355.2,novel
AC026355.3,pseudogene
AC026355.4,other
AC026356.1,novel
AC026356.2,novel
AC026358.1,novel
AC026362.1,novel
AC026362.2,novel
AC026367.1,novel
AC026367.2,novel
AC026367.3,novel
AC026368.1,novel
AC026369.1,antisense
AC026369.2,novel
AC026369.3,novel
AC026371.1,pseudogene
AC026391.1,novel
AC026396.1,pseudogene
AC026401.1,novel
AC026401.2,novel
AC026401.3,novel
AC026402.1,pseudogene
AC026402.2,novel
AC026403.1,pseudogene
AC026407.1,pseudogene
AC026408.1,novel
AC026410.1,pseudogene
AC026410.2,pseudogene
AC026410.3,pseudogene
AC026410.4,other
AC026412.1,pseudogene
AC026412.2,pseudogene
AC026412.3,novel
AC026412.4,other
AC026414.1,novel
AC026415.1,novel
AC026421.1,pseudogene
AC026422.1,other
AC026427.1,novel
AC026427.2,pseudogene
AC026433.1,novel
AC026434.1,pseudogene
AC026436.1,pseudogene
AC026444.1,pseudogene
AC026458.1,pseudogene
AC026458.2,novel
AC026461.1,novel
AC026461.2,novel
AC026461.3,novel
AC026461.4,pseudogene
AC026462.1,pseudogene
AC026462.2,novel
AC026462.3,novel
AC026462.4,novel
AC026462.5,novel
AC026464.1,novel
AC026464.2,novel
AC026464.3,novel
AC026464.4,novel
AC026464.5,pseudogene
AC026464.6,novel
AC026468.1,other
AC026469.1,novel
AC026470.1,other
AC026470.2,pseudogene
AC026470.3,antisense
AC026470.4,novel
AC026471.1,antisense
AC026471.2,antisense
AC026471.3,antisense
AC026471.4,novel
AC026471.5,antisense
AC026471.6,novel
AC026474.1,novel
AC026477.1,pseudogene
AC026495.1,novel
AC026495.2,novel
AC026523.1,novel
AC026523.2,novel
AC026523.3,novel
AC026523.4,novel
AC026583.1,novel
AC026585.1,novel
AC026616.1,pseudogene
AC026620.1,antisense
AC026620.2,novel
AC026624.1,antisense
AC026634.1,pseudogene
AC026634.2,other
AC026671.1,other
AC026688.1,pseudogene
AC026688.2,novel
AC026689.1,novel
AC026691.1,antisense
AC026700.1,pseudogene
AC026704.1,novel
AC026719.1,novel
AC026725.1,novel
AC026726.1,novel
AC026726.2,novel
AC026736.1,novel
AC026740.1,antisense
AC026740.2,pseudogene
AC026740.3,other
AC026741.1,novel
AC026746.1,novel
AC026748.1,other
AC026748.3,novel
AC026765.1,novel
AC026765.2,novel
AC026765.3,novel
AC026765.4,other
AC026770.1,novel
AC026771.1,antisense
AC026774.1,novel
AC026774.2,pseudogene
AC026780.1,novel
AC026780.2,novel
AC026782.1,novel
AC026782.2,novel
AC026784.1,pseudogene
AC026784.2,other
AC026785.1,pseudogene
AC026785.2,novel
AC026785.3,novel
AC026786.1,novel
AC026786.2,antisense
AC026787.1,novel
AC026790.1,novel
AC026790.2,other
AC026797.1,other
AC026798.1,pseudogene
AC026801.1,pseudogene
AC026801.2,antisense
AC026803.1,novel
AC026803.2,novel
AC026803.3,antisense
AC026826.1,pseudogene
AC026826.2,pseudogene
AC026826.3,pseudogene
AC026827.1,other
AC026877.1,pseudogene
AC026884.1,pseudogene
AC026887.1,other
